epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,8518.39,1.08117,0.50637,1.16468,0.95181,0.95924,0.96634,0.7079,1.06524,0.45102,1.22929,0.008416,0.008416,0.008416
82,8620.58,1.07575,0.49994,1.15905,0.94952,0.95816,0.96542,0.71345,1.06277,0.45618,1.22946,0.0083962,0.0083962,0.0083962
83,8726.19,1.07141,0.48842,1.16233,0.94953,0.95755,0.96231,0.70981,1.07105,0.4586,1.23299,0.0083764,0.0083764,0.0083764
84,8830.63,1.06815,0.49629,1.16329,0.94508,0.96129,0.96211,0.71177,1.05666,0.4497,1.23115,0.0083566,0.0083566,0.0083566
85,8935.8,1.08266,0.49957,1.1676,0.94762,0.96041,0.96251,0.71237,1.05357,0.45355,1.23483,0.0083368,0.0083368,0.0083368
86,9039.97,1.07078,0.49442,1.1477,0.94708,0.95977,0.96294,0.70914,1.06117,0.45524,1.22114,0.008317,0.008317,0.008317
87,9144.81,1.05556,0.48485,1.14582,0.94749,0.96001,0.96278,0.71006,1.0568,0.4502,1.22148,0.0082972,0.0082972,0.0082972
88,9246.72,1.05582,0.49189,1.1474,0.94246,0.96227,0.96269,0.71121,1.052,0.44466,1.21657,0.0082774,0.0082774,0.0082774
89,9353.47,1.06691,0.49205,1.14593,0.94726,0.95929,0.96262,0.71224,1.05342,0.45575,1.22425,0.0082576,0.0082576,0.0082576
90,9456.85,1.05302,0.48648,1.14589,0.94827,0.96125,0.96118,0.71129,1.05315,0.4588,1.22072,0.0082378,0.0082378,0.0082378
91,9561,1.06812,0.48205,1.15583,0.94709,0.95987,0.95873,0.71249,1.04902,0.45772,1.22087,0.008218,0.008218,0.008218
92,9664.63,1.03713,0.47734,1.1326,0.95098,0.96276,0.96141,0.71381,1.04624,0.45769,1.21862,0.0081982,0.0081982,0.0081982
93,9769.44,1.03923,0.48224,1.13329,0.95171,0.9641,0.96041,0.71384,1.04433,0.45695,1.2187,0.0081784,0.0081784,0.0081784
94,9873.81,1.0232,0.47741,1.129,0.95093,0.96365,0.96157,0.71614,1.04233,0.45737,1.21307,0.0081586,0.0081586,0.0081586
95,9978.51,1.04332,0.47784,1.13172,0.9494,0.96289,0.95908,0.7147,1.04306,0.45589,1.21234,0.0081388,0.0081388,0.0081388
96,10082.2,1.03885,0.48339,1.12764,0.94964,0.9604,0.95779,0.71375,1.04517,0.45371,1.2169,0.008119,0.008119,0.008119
